timestamp,quantity,price,fee,amount,side,pnl,accumulated_pnl
2024-03-08 06:23,0.02459233,94489000,1161.85,-2324867,0,-2324866.51937,-5221629.861439997
2024-03-08 06:23,0.04517517,94490000,2134.3,-4270737,0,-4270736.1133,-9492365.974739999
2024-03-08 06:24,0.04908028,94593000,2321.32,4640329,1,4640329.606039999,-4852036.3686999995
2024-03-08 06:24,0.00042286,94593000,19.99,39979,1,39979.60598,-4812056.762719999
2024-03-08 06:24,7.4e-05,94593000,3.49,6996,1,6996.392,-4805060.370719999
2024-03-08 06:24,0.00021143,94593000,9.99,19989,1,19989.807989999998,-4785070.562729999
2024-03-08 06:24,0.00021143,94593000,9.99,19989,1,19989.807989999998,-4765080.75474
2024-03-08 06:25,0.01064547,94469000,502.83,-1006170,0,-1006169.73543,-5771250.49017
2024-03-08 06:25,0.0018,94469000,85.02,-170130,0,-170129.21999999997,-5941379.71017
2024-03-08 06:25,0.00010364,94469000,4.89,-9796,0,-9795.65716,-5951175.36733
2024-03-08 07:12,0.02042659,94638000,966.56,1932165,1,1932165.0644200002,-4019010.3029099996
2024-03-08 07:12,0.00833276,94638000,394.29,788201,1,788201.4508799999,-3230808.8520299997
2024-03-08 07:12,0.02124065,94638000,1005.08,2009167,1,2009167.5547,-1221641.2973299997
2024-03-08 07:36,0.00694061,94502000,327.95,-656230,0,-656229.47622,-1877870.7735499996
2024-03-08 07:39,0.00546905,94464000,258.31,-516887,0,-516886.6492,-2394757.4227499994
2024-03-08 07:39,0.00016548,94464000,7.81,-15640,0,-15639.71272,-2410397.1354699996
2024-03-08 07:43,0.0251,94333000,1183.87,2366574,1,2366574.43,-43822.70546999946
2024-03-08 07:45,0.01631399,94267000,768.93,-1538640,0,-1538639.82533,-1582462.5307999994
2024-03-08 07:45,0.00552269,94304000,260.4,-521073,0,-521072.15776000003,-2103534.688559999
2024-03-08 07:45,0.05,94309000,2357.72,-4717808,0,-4717807.72,-6821342.4085599985
2024-03-08 08:16,0.01084609,94357000,511.7,1022892,1,1022892.81413,-5798449.594429999
2024-03-08 08:16,0.004,94357000,188.71,377239,1,377239.29,-5421210.304429999
2024-03-08 08:16,0.0105,94357000,495.37,990253,1,990253.1300000001,-4430957.174429999
2024-03-08 08:16,0.00064049,94357000,30.21,60404,1,60404.504929999996,-4370552.669499999
2024-03-08 08:16,0.0024,94357000,113.22,226343,1,226343.58,-4144209.089499999
2024-03-08 08:17,0.05,94302000,2357.55,-4717458,0,-4717457.55,-8861666.6395
2024-03-08 08:17,0.00106041,94298000,49.99,99944,1,99944.55217999998,-8761722.08732
2024-03-08 08:32,0.00026203,94345000,12.36,24708,1,24708.86035,-8737013.22697
2024-03-08 08:32,0.00204745,94345000,96.58,193070,1,193070.09025000004,-8543943.13672
2024-03-08 08:32,9.248e-05,94345000,4.36,8720,1,8720.665599999998,-8535222.47112
2024-03-08 08:51,6.375e-05,94115000,2.99,5996,1,5996.84125,-8529225.62987
2024-03-08 08:51,0.00053126,94115000,24.99,49974,1,49974.5449,-8479251.08497
